G1,G2,Study Time,Chocolates from Gabor,Attendance (%),Sleep Hours,Internet Usage,Final Grade (G3)
11,8,1,0,73,5.810530536541373,4.12665084977227,5.0
8,7,9,1,84,7.350343484437607,4.7353913356451445,8.0
17,18,3,1,62,7.804558377669895,2.093569444532696,12.0
19,20,4,4,96,7.720447541787891,1.2997165043065415,12.0
15,15,10,2,83,6.632606763466793,1.6548687149708705,10.0
12,14,1,1,60,5.061579566765234,4.029984836355127,9.0
17,14,13,2,85,7.3317042272170525,5.247232031128678,12.0
9,6,11,3,100,6.012406156718435,1.2249841061771218,8.0
11,9,10,0,66,6.801016984571561,4.670756295208231,7.0
14,14,3,4,84,8.830324060335268,2.7065932297502604,13.0
7,10,2,2,67,6.596141270569738,3.3926418495976125,6.0
11,14,2,1,89,8.359206426657707,5.644297749227828,8.0
15,13,14,2,71,5.7541624229970045,2.6598575236792272,17.0
15,13,1,1,73,7.689841992100115,3.32668466969743,6.0
12,10,8,2,68,8.908027817755773,1.0684120738034055,6.0
9,11,3,1,86,5.407572403491747,1.407993600024192,9.0
8,10,3,3,88,5.033279768908768,2.29295795567392,7.0
12,11,6,1,70,6.734331170530457,1.139261204105372,9.0
12,11,13,1,57,5.370501932205469,4.156876630241255,8.0
7,5,8,0,77,7.993537398704925,3.131991784008113,5.0
10,10,13,1,54,8.658194655394237,3.74072601364011,12.0
9,6,9,0,66,6.736083890835035,1.8732359294816479,8.0
6,8,9,4,86,6.034846568621764,2.479660147183081,10.0
12,12,4,0,85,6.737613276026439,4.3191223742636256,5.0
16,17,14,3,68,7.893791271400004,5.826513618151999,11.0
18,20,5,0,76,5.036216646321484,1.252083868011046,7.0
10,12,2,4,83,7.357815957938788,5.451921604276331,7.0
6,5,11,3,60,7.453166739549516,3.884406006556042,9.0
16,13,9,2,94,7.550752987583742,3.8195978337781185,13.0
9,6,8,2,96,5.968088319923509,3.501392676038802,7.0
5,8,3,0,61,7.8562108935125075,1.3469704295209168,5.0
16,19,11,0,70,5.365565945327106,1.4493842586808032,11.0
14,17,12,4,60,5.797081345867204,4.004560028295431,14.0
10,13,13,4,88,8.509880186617927,2.7047928571777913,14.0
17,18,9,1,77,7.954892602906265,5.586340332888403,9.0
16,17,3,4,54,5.0549822160453814,3.032952686797361,13.0
13,15,9,1,66,5.993505041479201,1.7164072935132055,13.0
5,3,2,3,69,5.857625931972658,4.57359416751018,4.0
15,14,12,0,90,6.08322531214789,2.466767107205049,13.0
15,14,10,3,95,5.990239081119546,3.6273515367794658,18.0
19,22,9,4,61,5.250105182971383,4.48916392752585,15.0
14,16,8,3,55,6.835762066387281,5.501320556010352,12.0
16,16,9,3,66,7.9309338991446605,4.96095597400838,11.0
16,14,5,3,100,7.426926898869746,4.381805339363621,12.0
19,21,11,4,68,7.691486674392319,4.398165911975718,17.0
18,16,11,3,75,5.324596714144956,5.729623220160432,14.0
18,16,2,1,97,8.80596284070715,2.47912048748268,10.0
19,17,8,4,93,8.353967335372099,1.005560470980937,15.0
18,20,12,3,93,8.22036127398265,2.3597727969909936,19.0
7,10,6,4,81,8.291935220167069,2.08945689813372,10.0
16,15,8,2,55,8.730842032531045,4.309172925569991,14.0
11,10,11,1,85,7.177015864454791,4.168557998827645,9.0
8,11,5,3,87,5.801128071470504,3.967306913523619,10.0
13,11,10,2,60,7.467134431410164,1.0812172160472686,11.0
7,7,2,2,82,7.971525974671756,4.643890272253238,4.0
9,6,6,4,73,7.951669573416101,2.6176520624274575,9.0
7,9,5,2,72,7.08579609666752,4.325279945033156,5.0
11,8,12,1,64,5.273834877334313,3.7828921425107667,7.0
9,12,13,1,76,6.484451753720512,2.713654627139536,10.0
13,13,12,0,60,8.68306643385343,1.6728813355205387,11.0
11,13,5,1,100,7.337795639029704,1.4720944883024047,7.0
6,9,13,2,99,7.153327773022854,5.157591665561117,11.0
8,6,1,1,66,6.075414057528774,5.59198771040779,6.0
13,12,2,4,100,6.473795679666315,4.248940233821498,9.0
16,13,8,0,63,8.581384356612677,1.5171705743024169,8.0
18,19,13,2,76,7.665852190107342,3.0101360844412035,14.0
6,7,14,0,67,8.14954810700933,4.644696000525786,6.0
14,14,13,2,77,6.8173816922706205,4.899104420050341,12.0
13,11,3,4,100,7.520988877824632,1.591093111455443,10.0
14,11,10,0,96,5.99353443497283,1.0001535942269122,6.0
9,7,3,3,96,7.8218433211339455,4.560685229403025,7.0
6,3,8,2,53,6.710405334813349,2.7829808799310283,5.0
8,8,8,3,56,6.770182059258982,2.272406658091301,10.0
16,16,2,0,94,7.597289298307526,1.0644873489476272,9.0
19,20,8,3,84,8.745122485875706,3.7014970338074984,18.0
16,14,11,3,97,5.256025386434484,5.255753677129909,9.0
11,13,13,0,58,8.29897294938803,5.78815823136294,12.0
16,17,13,4,57,6.169532441648773,3.828724753066446,14.0
17,15,1,3,94,6.775677818025511,3.572306638699471,13.0
12,13,6,3,66,5.087653315100036,1.4252819274462056,11.0
19,21,8,4,66,6.204184311337253,3.7443640077129987,17.0
7,6,3,3,98,7.010524970520522,2.8998953948269732,6.0
18,17,8,3,82,5.224704309389756,4.0356764044178846,11.0
5,4,12,3,81,6.96438291753266,2.9436317393827336,10.0
8,7,1,1,57,8.70844251543371,2.2014956172518336,6.0
6,9,11,4,68,5.421572872431221,1.4748263761418825,10.0
12,9,11,3,87,8.057762912302017,2.574592222944479,13.0
8,11,9,4,52,6.6386842135039705,1.4832241714387613,8.0
6,9,13,2,54,7.620694858097352,1.8844847541199197,10.0
18,21,11,2,62,6.040946391940917,5.93668079289773,13.0
10,9,13,3,96,5.637969050165433,3.2205177845330932,10.0
10,12,9,4,95,5.641850457084906,3.6593588325250828,11.0
14,14,5,4,80,5.281967782572579,5.368092643686077,8.0
8,8,10,4,65,5.742586819604972,5.977844502453439,7.0
10,7,4,1,99,7.6568775399558735,3.9135722467234078,10.0
17,16,11,2,81,8.526762447374033,5.062369105220858,15.0
19,18,6,4,71,8.256502742364647,2.6347051216833766,14.0
6,5,12,4,78,7.740537239497936,2.5287197872364553,9.0
14,15,7,1,71,5.441727453644411,3.013518604972801,10.0
16,14,5,1,92,6.156749785183799,4.3625363133682455,13.0
6,7,11,4,52,6.239227501289876,4.410958446275494,8.0
14,12,13,0,59,5.999827785590485,2.576197173247254,11.0
18,17,10,4,91,7.060022638838893,1.6660496206831434,17.0
8,7,9,4,70,7.14221525951869,4.161981282327543,7.0
18,19,3,1,65,6.427543900684441,1.6416293109438227,15.0
19,20,7,1,61,6.415156634945744,3.8924625411466502,10.0
19,17,10,4,51,8.314222391624325,4.467110640281545,18.0
12,12,10,4,90,8.157171393278743,4.503057481972258,11.0
18,16,11,4,73,6.231183326722983,4.7673605532979835,13.0
11,12,5,1,84,8.655153775493037,5.364297107828323,5.0
16,18,14,4,79,8.811260068010025,3.499794959823942,14.0
13,14,7,4,79,6.306970168120163,4.6512459476478565,9.0
18,20,2,3,96,6.4176997951722194,4.095863676829183,12.0
12,9,4,0,84,7.022536613687835,1.9331996989884128,7.0
9,10,2,2,68,8.764483250134694,1.1284482243470408,10.0
17,14,14,0,99,8.505277732569246,2.422706928384669,13.0
6,6,13,3,57,5.410271850334359,3.215168531688097,8.0
19,17,13,2,75,6.570922973085665,4.085529722143281,12.0
9,11,12,4,98,7.213484758999087,5.249796652516027,9.0
